n,algorytm,porownania
117000,BinarySearch,22
117000,SmartSearch,20
118000,BinarySearch,27
118000,SmartSearch,24
119000,BinarySearch,28
119000,SmartSearch,21
120000,BinarySearch,28
120000,SmartSearch,21
121000,BinarySearch,21
121000,SmartSearch,25
122000,BinarySearch,20
122000,SmartSearch,20
123000,BinarySearch,20
123000,SmartSearch,17
124000,BinarySearch,29
124000,SmartSearch,25
125000,BinarySearch,26
125000,SmartSearch,24
126000,BinarySearch,23
126000,SmartSearch,22
127000,BinarySearch,26
127000,SmartSearch,24
128000,BinarySearch,24
128000,SmartSearch,22
129000,BinarySearch,25
129000,SmartSearch,19
130000,BinarySearch,29
130000,SmartSearch,19
131000,BinarySearch,19
131000,SmartSearch,23
132000,BinarySearch,23
132000,SmartSearch,22
133000,BinarySearch,26
133000,SmartSearch,18
134000,BinarySearch,31
134000,SmartSearch,16
135000,BinarySearch,27
135000,SmartSearch,22
136000,BinarySearch,28
136000,SmartSearch,23
137000,BinarySearch,30
137000,SmartSearch,18
138000,BinarySearch,22
138000,SmartSearch,14
139000,BinarySearch,24
139000,SmartSearch,23
140000,BinarySearch,23
140000,SmartSearch,25
141000,BinarySearch,27
141000,SmartSearch,27
142000,BinarySearch,32
142000,SmartSearch,21
143000,BinarySearch,22
143000,SmartSearch,24
144000,BinarySearch,25
144000,SmartSearch,23
145000,BinarySearch,23
145000,SmartSearch,21
146000,BinarySearch,22
146000,SmartSearch,21
147000,BinarySearch,19
147000,SmartSearch,17
148000,BinarySearch,24
148000,SmartSearch,23
149000,BinarySearch,24
149000,SmartSearch,25
150000,BinarySearch,26
150000,SmartSearch,24
151000,BinarySearch,24
151000,SmartSearch,24
152000,BinarySearch,26
152000,SmartSearch,23
153000,BinarySearch,27
153000,SmartSearch,24
154000,BinarySearch,23
154000,SmartSearch,22
155000,BinarySearch,26
155000,SmartSearch,27
156000,BinarySearch,30
156000,SmartSearch,24
157000,BinarySearch,26
157000,SmartSearch,24
158000,BinarySearch,25
158000,SmartSearch,22
159000,BinarySearch,24
159000,SmartSearch,24
160000,BinarySearch,29
160000,SmartSearch,25
161000,BinarySearch,27
161000,SmartSearch,12
