n,algorytm,porownania
133000,SmartSearch,9
134000,BinarySearch,30
134000,SmartSearch,14
135000,BinarySearch,25
135000,SmartSearch,11
136000,BinarySearch,25
136000,SmartSearch,17
137000,BinarySearch,28
137000,SmartSearch,12
138000,BinarySearch,26
138000,SmartSearch,9
139000,BinarySearch,26
139000,SmartSearch,18
140000,BinarySearch,18
140000,SmartSearch,12
141000,BinarySearch,26
141000,SmartSearch,13
142000,BinarySearch,23
142000,SmartSearch,15
143000,BinarySearch,16
143000,SmartSearch,17
144000,BinarySearch,28
144000,SmartSearch,11
145000,BinarySearch,23
145000,SmartSearch,9
146000,BinarySearch,25
146000,SmartSearch,16
147000,BinarySearch,23
147000,SmartSearch,11
148000,BinarySearch,23
148000,SmartSearch,11
149000,BinarySearch,20
149000,SmartSearch,17
150000,BinarySearch,27
150000,SmartSearch,15
151000,BinarySearch,22
151000,SmartSearch,17
152000,BinarySearch,25
152000,SmartSearch,13
153000,BinarySearch,23
153000,SmartSearch,2
154000,BinarySearch,29
154000,SmartSearch,13
155000,BinarySearch,19
155000,SmartSearch,17
156000,BinarySearch,24
156000,SmartSearch,15
157000,BinarySearch,31
157000,SmartSearch,17
158000,BinarySearch,24
158000,SmartSearch,18
159000,BinarySearch,25
159000,SmartSearch,16
160000,BinarySearch,22
160000,SmartSearch,13
161000,BinarySearch,19
161000,SmartSearch,11
162000,BinarySearch,23
162000,SmartSearch,14
163000,BinarySearch,26
163000,SmartSearch,14
164000,BinarySearch,24
164000,SmartSearch,11
165000,BinarySearch,29
165000,SmartSearch,13
166000,BinarySearch,27
166000,SmartSearch,15
167000,BinarySearch,26
167000,SmartSearch,10
168000,BinarySearch,29
168000,SmartSearch,13
169000,BinarySearch,13
169000,SmartSearch,9
170000,BinarySearch,24
170000,SmartSearch,18
171000,BinarySearch,26
171000,SmartSearch,17
172000,BinarySearch,26
172000,SmartSearch,11
173000,BinarySearch,25
173000,SmartSearch,13
174000,BinarySearch,29
174000,SmartSearch,16
175000,BinarySearch,27
175000,SmartSearch,17
176000,BinarySearch,25
176000,SmartSearch,12
177000,BinarySearch,28
177000,SmartSearch,11
178000,BinarySearch,26
178000,SmartSearch,2
179000,BinarySearch,31
179000,SmartSearch,14
180000,BinarySearch,25
180000,SmartSearch,12
181000,BinarySearch,25
181000,SmartSearch,2
182000,BinarySearch,23
182000,SmartSearch,15
183000,BinarySearch,26
183000,SmartSearch,8
184000,BinarySearch,23
184000,SmartSearch,18
185000,BinarySearch,26
185000,SmartSearch,2
186000,BinarySearch,21
186000,SmartSearch,13
187000,BinarySearch,27
187000,SmartSearch,10
188000,BinarySearch,27
188000
