n,k_typ,algorytm,avg_porownania,avg_przestawienia
7800,5,SELECT,61105,68100
7800,5,RAND_SELECT,14588,15616
7900,1,SELECT,62421,69403
7900,1,RAND_SELECT,15660,15581
7900,2,SELECT,62104,69064
7900,2,RAND_SELECT,24287,25458
7900,3,SELECT,62171,69151
7900,3,RAND_SELECT,26352,25890
7900,4,SELECT,60798,67672
7900,4,RAND_SELECT,23984,24504
7900,5,SELECT,61927,68987
7900,5,RAND_SELECT,15835,15816
8000,1,SELECT,62899,69896
8000,1,RAND_SELECT,15203,14462
8000,2,SELECT,62344,69335
8000,2,RAND_SELECT,26229,26010
8000,3,SELECT,63014,70147
8000,3,RAND_SELECT,25852,26401
8000,4,SELECT,62654,69693
8000,4,RAND_SELECT,25299,25357
8000,5,SELECT,62853,69991
8000,5,RAND_SELECT,16000,16017
8100,1,SELECT,63758,70840
8100,1,RAND_SELECT,15495,14844
8100,2,SELECT,63348,70380
8100,2,RAND_SELECT,25456,25556
8100,3,SELECT,63692,70838
8100,3,RAND_SELECT,28198,27612
8100,4,SELECT,63473,70584
8100,4,RAND_SELECT,24419,26188
8100,5,SELECT,63654,70853
8100,5,RAND_SELECT,15556,16214
8200,1,SELECT,64275,71400
8200,1,RAND_SELECT,16228,16113
8200,2,SELECT,64692,71893
8200,2,RAND_SELECT,26230,27199
8200,3,SELECT,63884,71042
8200,3,RAND_SELECT,27514,27745
8200,4,SELECT,63889,71076
8200,4,RAND_SELECT,24772,24523
8200,5,SELECT,64464,71692
8200,5,RAND_SELECT,17640,16417
8300,1,SELECT,65197,72427
8300,1,RAND_SELECT,16075,15609
8300,2,SELECT,65116,72343
8300,2,RAND_SELECT,25666,25108
8300,3,SELECT,65555,72928
8300,3,RAND_SELECT,29825,29217
8300,4,SELECT,65472,72897
8300,4,RAND_SELECT,26509,26719
8300,5,SELECT,65335,72773
8300,5,RAND_SELECT,16200,16616
8400,1,SELECT,65490,72737
8400,1,RAND_SELECT,18120,19499
8400,2,SELECT,66102,73423
8400,2,RAND_SELECT,26541,25407
8400,3,SELECT,66052,73461
8400,3,RAND_SELECT,30698,30996
8400,4,SELECT,65596,72945
8400,4,RAND_SELECT,24895,24644
8400,5,SELECT,65813,73221
8400,5,RAND_SELECT,15586,16816
8500,1,SELECT,66836,74219
8500,1,RAND_SELECT,17143,17350
8500,2,SELECT,66346,73777
8500,2,RAND_SELECT,25263,24375
8500,3,SELECT,65791,73146
8500,3,RAND_SELECT,30893,32505
8500,4,SELECT,66515,73986
8500,4,RAND_SELECT,29449,28083
8500,5,SELECT,66596,74067
8500,5,RAND_SELECT,18947,17017
8600,1,SELECT,67394,74817
8600,1,RAND_SELECT,17522,17902
8600,2,SELECT,67690,75210
8600,2,RAND_SELECT,26286,26280
8600,3,SELECT,67204,74708
8600,3,RAND_SELECT,29084,30014
8600,4,SELECT,67546,75077
8600,4,RAND_SELECT,26494,25242
8600,5,SELECT,67567,75164
8600,5,RAND_SELECT,16712,17215
8700,1,SELECT,68237,75766
8700,1,RAND_SELECT,18013,18684
8700,2,SELECT,68431,76052
8700,2,RAND_SELECT,25589,24439
8700,3,SELECT,67757,75305
8700,3,RAND_SELECT,27813,26606
8700,4,SELECT,68168,75772
8700,4,RAND_SELECT,26823,28386
8700,5,SELECT,68801,76537
8700,5,RAND_SELECT,17431,17418
8800,1,SELECT,69357,77041
8800,1,RAND_SELECT,17563,17584
8800,2,SELECT,69016,76681
8800,2,RAND_SELECT,27422,27055
8800,3,SELECT,68698,76354
8800,3,RAND_SELECT,28134,28886
8800,4,SELECT,69073,76772
8800,4,RAND_SELECT,25899,26665
8800,5,SELECT,69270,77085
8800,5,RAND_SELECT,17595,17617
8900,1,SELECT,69984,77730
8900,1,RAND_SELECT,17481,17222
8900,2,SELECT,70145,77966
8900,2,RAND_SELECT,28365,28403
8900,3,SELECT,69307,77033
8900,3,RAND_SELECT,29139,29909
8900,4,SELECT,70251,78140
8900,4,RAND_SELECT,28159,28667
8900,5,SELECT,70033,78007
8900,5,RAND_SELECT,17397,17817
9000,1,SELECT,70779,78544
9000,1,RAND_SELECT,18512,19084
9000,2,SELECT,71062,78970
9000,2,RAND_SELECT,28607,29230
9000,3,SELECT,71250,79177
9000,3,RAND_SELECT,29589,29054
9000,4,SELECT,70289,78138
9000,4,RAND_SELECT,29743,28842
9000,5,SELECT,70967,78996
9000,5,RAND_SELECT,17894,18016
9100,1,SELECT,71716,79623
9100,1,RAND_SELECT,17312,16478
9100,2,SELECT,70865,78703
9100,2,RAND_SELECT,28531,29170
9100,3,SELECT,71913,79967
9100,3,RAND_SELECT,30741,28736
9100,4,SELECT,70568,78467
9100,4,RAND_SELECT,26914,28528
9100,5,SELECT,71409,79433
9100,5,RAND_SELECT,18178,18218
9200,1,SELECT,72300,80257
9200,1,RAND_SELECT,18647,18952
9200,2,SELECT,72596,80626
9200,2,RAND_SELECT,28300,28318
9200,3,SELECT,71602,79539
9200,3,RAND_SELECT,29655,33238
9200,4,SELECT,71968,80065
9200,4,RAND_SELECT,29830,28882
9200,5,SELECT,72364,80459
9200,5,RAND_SELECT,17863,18416
9300,1,SELECT,73253,81322
9300,1,RAND_SELECT,18519,18495
9300,2,SELECT,73443,81577
9300,2,RAND_SELECT,28101,26934
9300,3,SELECT,73113,81194
9300,3,RAND_SELECT,31553,31672
9300,4,SELECT,72780,80915
9300,4,RAND_SELECT,29949,28863
9300,5,SELECT,73100,81310
9300,5,RAND_SELECT,20236,18618
9400,1,SELECT,74267,82456
9400,1,RAND_SELECT,19674,20609
9400,2,SELECT,73469,81600
9400,2,RAND_SELECT,28975,29136
9400,3,SELECT,73231,81347
9400,3,RAND_SELECT,29932,30300
9400,4,SELECT,74087,82345
9400,4,RAND_SELECT,30338,31899
9400,5,SELECT,74162,82544
9400,5,RAND_SELECT,19814,18818
9500,1,SELECT,74932,83163
9500,1,RAND_SELECT,19837,20734
9500,2,SELECT,73682,81831
9500,2,RAND_SELECT,29247,29666
9500,3,SELECT,74818,83124
9500,3,RAND_SELECT,31575,31389
9500,4,SELECT,74608,82994
9500,4,RAND_SELECT,29397,30494
9500,5,SELECT,75087,83527
9500,5,RAND_SELECT,19251,19018
9600,1,SELECT,75632,83923
9600,1,RAND_SELECT,18426,17710
9600,2,SELECT,75186,83420
9600,2,RAND_SELECT,31067,32110
9600,3,SELECT,74960,83312
9600,3,RAND_SELECT,33506,35207
9600,4,SELECT,75336,83731
9600,4,RAND_SELECT,30080,29179
9600,5,SELECT,75903,84501
9600,5,RAND_SELECT,17796,19217
9700,1,SELECT,76272,84615
9700,1,RAND_SELECT,19448,19557
9700,2,SELECT,76785,85259
9700,2,RAND_SELECT,30038,27419
9700,3,SELECT,75230,83545
9700,3,RAND_SELECT,30450,30586
9700,4,SELECT,76555,85139
9700,4,RAND_SELECT,27914,28014
9700,5,SELECT,76696,85337
9700,5,RAND_SELECT,19761,19417
9800,1,SELECT,77042,85501
9800,1,RAND_SELECT,19026,18508
9800,2,SELECT,77124,85614
9800,2,RAND_SELECT,30482,30651
9800,3,SELECT,77497,86054
9800,3,RAND_SELECT,32470,31450
9800,4,SELECT,76798,85307
9800,4,RAND_SELECT,32963,31076
9800,5,SELECT,77025,85664
9800,5,RAND_SELECT,19793,19618
9900,1,SELECT,78086,86634
9900,1,RAND_SELECT,17442,15137
9900,2,SELECT,78022,86643
9900,2,RAND_SELECT,30499,30952
9900,3,SELECT,77357,85996
9900,3,RAND_SELECT,32221,34184
9900,4,SELECT,77902,86549
9900,4,RAND_SELECT,30408,30971
9900,5,SELECT,78442,87295
9900,5,RAND_SELECT,19360,19817
10000,1,SELECT,79060,87719
10000,1,RAND_SELECT,20678,21411
10000,2,SELECT,79016,87720
10000,2,RAND_SELECT,30797,29692
10000,3,SELECT,77901,86466
10000,3,RAND_SELECT,32043,32479
10000,4,SELECT,79194,87981
10000,4,RAND_SELECT,32079,31575
10000,5,SELECT,79079,87945
10000,5,RAND_SELECT,18811,20017
10100,1,SELECT,79766,88467
10100,1,RAND_SELECT,19896,19654
10100,2,SELECT,79608,88353
10100,2,RAND_SELECT,32600,32280
10100,3,SELECT,79004,87730
10100,3,RAND_SELECT,34755,35763
10100,4,SELECT,79540,88352
10100,4,RAND_SELECT,31884,31484
10100,5,SELECT,79619,88486
10100,5,RAND_SELECT,18561,20216
10200,1,SELECT,80452,89224
10200,1,RAND_SELECT,19596,18852
10200,2,SELECT,80811,89712
10200,2,RAND_SELECT,32648,32246
10200,3,SELECT,80568,89445
10200,3,RAND_SELECT,32571,30496
10200,4,SELECT,79452,88184
10200,4,RAND_SELECT,30847,30330
10200,5,SELECT,80815,89911
10200,5,RAND_SELECT,20611,20417
10300,1,SELECT,81662,90607
10300,1,RAND_SELECT,19796,19047
10300,2,SELECT,80269,89058
10300,2,RAND_SELECT,33124,30322
10300,3,SELECT,80397,89244
10300,3,RAND_SELECT,33973,35093
10300,4,SELECT,80719,89637
10300,4,RAND_SELECT,33179,31690
10300,5,SELECT,81455,90515
10300,5,RAND_SELECT,21685,20617
10400,1,SELECT,82222,91197
10400,1,RAND_SELECT,22249,23760
10400,2,SELECT,82247,91233
10400,2,RAND_SELECT,30728,28115
10400,3,SELECT,81958,90975
10400,3,RAND_SELECT,33973,34540
10400,4,SELECT,81347,90348
10400,4,RAND_SELECT,32426,30311
10400,5,SELECT,82587,91886
10400,5,RAND_SELECT,18037,20816
10500,1,SELECT,83043,92115
10500,1,RAND_SELECT,20405,19872
10500,2,SELECT,82370,91412
10500,2,RAND_SELECT,34026,35170
10500,3,SELECT,83014,92195
10500,3,RAND_SELECT,35091,36510
10500,4,SELECT,81985,91042
10500,4,RAND_SELECT,32753,33048
10500,5,SELECT,82937,92256
10500,5,RAND_SELECT,21772,21018
10600,1,SELECT,84012,93174
10600,1,RAND_SELECT,20722,20303
10600,2,SELECT,83125,92212
10600,2,RAND_SELECT,34001,33586
10600,3,SELECT,82890,92009
10600,3,RAND_SELECT,35996,35054
10600,4,SELECT,83855,93108
10600,4,RAND_SELECT,32550,32392
10600,5,SELECT,83601,92857
10600,5,RAND_SELECT,22789,21218
10700,1,SELECT,84690,93950
10700,1,RAND_SELECT,20835,20327
10700,2,SELECT,83589,92720
10700,2,RAND_SELECT,31927,33028
10700,3,SELECT,83840,93115
10700,3,RAND_SELECT,36904,37682
10700,4,SELECT,84744,94201
10700,4,RAND_SELECT,33360,34426
10700,5,SELECT,84153,93508
10700,5,RAND_SELECT,19871,21417
10800,1,SELECT,85374,94668
10800,1,RAND_SELECT,20549,19559
10800,2,SELECT,85154,94491
10800,2,RAND_SELECT,34583,34334
10800,3,SELECT,85628,95076
10800,3,RAND_SELECT,38669,37945
10800,4,SELECT,85066,94521
10800,4,RAND_SELECT,33132,31109
10800,5,SELECT,85110,94584
10800,5,RAND_SELECT,23085,21618
10900,1,SELECT,85873,95211
10900,1,RAND_SELECT,20508,19271
10900,2,SELECT,86097,95508
10900,2,RAND_SELECT,33795,33440
10900,3,SELECT,84951,94270
10900,3,RAND_SELECT,37918,35899
10900,4,SELECT,86078,95612
10900,4,RAND_SELECT,33832,32911
10900,5,SELECT,86290,95883
10900,5,RAND_SELECT,21945,21817
11000,1,SELECT,86943,96401
11000,1,RAND_SELECT,22728,23520
11000,2,SELECT,86721,96201
11000,2,RAND_SELECT,33557,33412
11000,3,SELECT,86761,96271
11000,3,RAND_SELECT,37557,36540
11000,4,SELECT,86580,96132
11000,4,RAND_SELECT,35930,34104
11000,5,SELECT,86898,96582
11000,5,RAND_SELECT,22333,22017
11100,1,SELECT,87568,97063
11100,1,RAND_SELECT,22295,22450
11100,2,SELECT,87607,97191
11100,2,RAND_SELECT,34103,33830
11100,3,SELECT,86658,96174
11100,3,RAND_SELECT,38850,38713
11100,4,SELECT,87161,96750
11100,4,RAND_SELECT,33545,34593
11100,5,SELECT,87737,97490
11100,5,RAND_SELECT,22306,22217
11200,1,SELECT,88659,98306
11200,1,RAND_SELECT,23384,24428
11200,2,SELECT,88109,97756
11200,2,RAND_SELECT,35343,35820
11200,3,SELECT,88476,98197
11200,3,RAND_SELECT,37873,37864
11200,4,SELECT,88611,98363
11200,4,RAND_SELECT,35424,35175
11200,5,SELECT,88574,98463
11200,5,RAND_SELECT,21602,22417
11300,1,SELECT,89279,99011
11300,1,RAND_SELECT,22643,22746
11300,2,SELECT,88953,98632
11300,2,RAND_SELECT,35442,35283
11300,3,SELECT,90043,100014
11300,3,RAND_SELECT,38719,36325
11300,4,SELECT,89277,99175
11300,4,RAND_SELECT,37506,38367
11300,5,SELECT,88751,98583
11300,5,RAND_SELECT,22237,22617
11400,1,SELECT,89877,99658
11400,1,RAND_SELECT,21845,20950
11400,2,SELECT,90363,100238
11400,2,RAND_SELECT,34823,36246
11400,3,SELECT,90345,100297
11400,3,RAND_SELECT,38723,41128
11400,4,SELECT,89840,99718
11400,4,RAND_SELECT,35550,36378
11400,5,SELECT,90502,100557
11400,5,RAND_SELECT,22773,22817
11500,1,SELECT,90749,100602
11500,1,RAND_SELECT,22578,22212
11500,2,SELECT,90139,99953
11500,2,RAND_SELECT,34378,31796
11500,3,SELECT,88588,98297
11500,3,RAND_SELECT,39247,40748
11500,4,SELECT,90696,100765
11500,4,RAND_SELECT,34722,34055
11500,5,SELECT,90865,100942
11500,5,RAND_SELECT,22028,23019
11600,1,SELECT,91424,101317
11600,1,RAND_SELECT,22849,22558
11600,2,SELECT,91908,101891
11600,2,RAND_SELECT,38349,38964
11600,3,SELECT,91916,101970
11600,3,RAND_SELECT,34847,35710
11600,4,SELECT,91963,102148
11600,4,RAND_SELECT,36203,34585
11600,5,SELECT,91592,101794
11600,5,RAND_SELECT,22873,23219
11700,1,SELECT,92729,102772
11700,1,RAND_SELECT,23035,22729
11700,2,SELECT,92387,102494
11700,2,RAND_SELECT,33956,32277
11700,3,SELECT,92574,102728
11700,3,RAND_SELECT,38812,40389
11700,4,SELECT,91948,102144
11700,4,RAND_SELECT,35387,34676
11700,5,SELECT,92982,103321
11700,5,RAND_SELECT,24142,23418
11800,1,SELECT,93300,103425
11800,1,RAND_SELECT,24548,25557
11800,2,SELECT,92560,102611
11800,2,RAND_SELECT,35854,37172
11800,3,SELECT,93561,103878
11800,3,RAND_SELECT,40274,39170
11800,4,SELECT,92925,103123
11800,4,RAND_SELECT,36876,35417
11800,5,SELECT,93216,103454
11800,5,RAND_SELECT,22689,23616
11900,1,SELECT,94307,104543
11900,1,RAND_SELECT,25264,26788
11900,2,SELECT,94392,104596
11900,2,RAND_SELECT,36285,37822
11900,3,SELECT,92319,102391
11900,3,RAND_SELECT,39698,38941
11900,4,SELECT,93530,103873
11900,4,RAND_SELECT,35217,35777
11900,5,SELECT,93909,104355
11900,5,RAND_SELECT,25319,23819
12000,1,SELECT,94751,104984
12000,1,RAND_SELECT,24392,24847
12000,2,SELECT,94759,105084
12000,2,RAND_SELECT,37682,37744
12000,3,SELECT,94622,104995
12000,3,RAND_SELECT,42475,41161
12000,4,SELECT,94795,105252
12000,4,RAND_SELECT,36964,39307
12000,5,SELECT,94878,105391
12000,5,RAND_SELECT,25279,24018
12100,1,SELECT,95503,105808
12100,1,RAND_SELECT,25679,27221
12100,2,SELECT,95354,105692
12100,2,RAND_SELECT,36590,35921
12100,3,SELECT,96153,106678
12100,3,RAND_SELECT,41657,41137
12100,4,SELECT,94814,105151
12100,4,RAND_SELECT,37702,37517
12100,5,SELECT,96289,107074
12100,5,RAND_SELECT,22332,24216
12200,1,SELECT,96680,107153
12200,1,RAND_SELECT,23036,21730
12200,2,SELECT,96339,106811
12200,2,RAND_SELECT,37902,37631
12200,3,SELECT,96206,106760
12200,3,RAND_SELECT,40371,40153
12200,4,SELECT,97190,107904
12200,4,RAND_SELECT,36416,37565
12200,5,SELECT,96819,107561
12200,5,RAND_SELECT,25213,24417
12300,1,SELECT,97246,107780
12300,1,RAND_SELECT,24038,23533
12300,2,SELECT,97011,107534
12300,2,RAND_SELECT,38448,39617
12300,3,SELECT,97933,108617
12300,3,RAND_SELECT,43509,44467
12300,4,SELECT,96480,107069
12300,4,RAND_SELECT,40362,39378
12300,5,SELECT,97182,107929
12300,5,RAND_SELECT,23476,24617
12400,1,SELECT,98059,108675
12400,1,RAND_SELECT,23753,22763
12400,2,SELECT,98428,109129
12400,2,RAND_SELECT,36893,36501
12400,3,SELECT,97949,108701
12400,3,RAND_SELECT,41248,39823
12400,4,SELECT,97106,107748
12400,4,RAND_SELECT,40951,37847
12400,5,SELECT,98450,109359
12400,5,RAND_SELECT,25844,24818
12500,1,SELECT,99283,110043
12500,1,RAND_SELECT,24085,23228
12500,2,SELECT,98873,109620
12500,2,RAND_SELECT,38111,40428
12500,3,SELECT,98188,108933
12500,3,RAND_SELECT,43751,43488
12500,4,SELECT,98239,108958
12500,4,RAND_SELECT,41957,42307
12500,5,SELECT,99453,110491
12500,5,RAND_SELECT,22866,25018
12600,1,SELECT,99983,110781
12600,1,RAND_SELECT,26327,27515
12600,2,SELECT,99610,110413
12600,2,RAND_SELECT,37486,37851
12600,3,SELECT,99200,110029
12600,3,RAND_SELECT,42962,43661
12600,4,SELECT,99609,110566
12600,4,RAND_SELECT,37286,38949
12600,5,SELECT,99454,110402
12600,5,RAND_SELECT,23892,25217
12700,1,SELECT,100245,111093
12700,1,RAND_SELECT,26460,27583
12700,2,SELECT,100400,111364
12700,2,RAND_SELECT,40211,40384
12700,3,SELECT,100824,111891
12700,3,RAND_SELECT,44932,46782
12700,4,SELECT,100511,111575
12700,4,RAND_SELECT,40672,40244
12700,5,SELECT,100407,111551
12700,5,RAND_SELECT,27112,25418
12800,1,SELECT,101454,112396
12800,1,RAND_SELECT,23616,21692
12800,2,SELECT,101458,112464
12800,2,RAND_SELECT,40045,41220
12800,3,SELECT,101770,112895
12800,3,RAND_SELECT,40774,41011
12800,4,SELECT,101102,112257
12800,4,RAND_SELECT,38233,39066
12800,5,SELECT,101877,113099
12800,5,RAND_SELECT,25075,25617
12900,1,SELECT,102779,113944
12900,1,RAND_SELECT,25250,24759
12900,2,SELECT,102617,113794
12900,2,RAND_SELECT,42452,43883
12900,3,SELECT,100511,111544
12900,3,RAND_SELECT,48130,45661
12900,4,SELECT,101921,113093
12900,4,RAND_SELECT,44423,42042
12900,5,SELECT,102329,113588
12900,5,RAND_SELECT,28258,25817
13000,1,SELECT,102936,113993
13000,1,RAND_SELECT,24935,23930
13000,2,SELECT,103230,114491
13000,2,RAND_SELECT,38883,39372
13000,3,SELECT,102164,113395
13000,3,RAND_SELECT,44375,43431
13000,4,SELECT,103102,114441
13000,4,RAND_SELECT,40044,41826
13000,5,SELECT,103406,114891
13000,5,RAND_SELECT,24171,26016
13100,1,SELECT,103541,114673
13100,1,RAND_SELECT,25338,24534
13100,2,SELECT,103441,114635
13100,2,RAND_SELECT,38762,38038
13100,3,SELECT,103987,115332
13100,3,RAND_SELECT,44524,45693
13100,4,SELECT,102852,114095
13100,4,RAND_SELECT,41012,43188
13100,5,SELECT,103775,115204
13100,5,RAND_SELECT,25098,26217
13200,1,SELECT,104454,115699
13200,1,RAND_SELECT,26904,27470
13200,2,SELECT,102954,114076
13200,2,RAND_SELECT,46085,45856
13200,3,SELECT,104311,115719
13200,3,RAND_SELECT,43807,44686
13200,4,SELECT,104057,115472
13200,4,RAND_SELECT,39531,36981
13200,5,SELECT,104531,116033
13200,5,RAND_SELECT,25570,26418
13300,1,SELECT,105521,116834
13300,1,RAND_SELECT,25771,25003
13300,2,SELECT,104639,115947
13300,2,RAND_SELECT,43911,44706
13300,3,SELECT,103506,114817
13300,3,RAND_SELECT,48123,49831
13300,4,SELECT,104457,115807
13300,4,RAND_SELECT,39201,40423
13300,5,SELECT,105908,117626
13300,5,RAND_SELECT,25521,26617
13400,1,SELECT,106126,117541
13400,1,RAND_SELECT,24889,23035
13400,2,SELECT,106277,117799
13400,2,RAND_SELECT,43825,45839
13400,3,SELECT,104527,115947
13400,3,RAND_SELECT,44106,41771
13400,4,SELECT,106110,117791
13400,4,RAND_SELECT,42769,41463
13400,5,SELECT,105831,117420
13400,5,RAND_SELECT,27624,26818
13500,1,SELECT,107356,118936
13500,1,RAND_SELECT,27326,27713
13500,2,SELECT,106335,117850
13500,2,RAND_SELECT,44963,44618
13500,3,SELECT,107489,119159
13500,3,RAND_SELECT,46381,45774
13500,4,SELECT,105947,117493
13500,4,RAND_SELECT,43247,46540
13500,5,SELECT,106326,118029
13500,5,RAND_SELECT,25849,27018
13600,1,SELECT,108004,119641
13600,1,RAND_SELECT,24623,22102
13600,2,SELECT,107870,119531
13600,2,RAND_SELECT,44355,43733
13600,3,SELECT,107737,119450
13600,3,RAND_SELECT,44541,47195
13600,4,SELECT,108229,120084
13600,4,RAND_SELECT,44597,41665
13600,5,SELECT,107670,119528
13600,5,RAND_SELECT,26533,27217
13700,1,SELECT,108676,120384
13700,1,RAND_SELECT,28950,30562
13700,2,SELECT,108655,120407
13700,2,RAND_SELECT,41925,43280
13700,3,SELECT,108097,119806
13700,3,RAND_SELECT,44514,42475
13700,4,SELECT,109015,120921
13700,4,RAND_SELECT,42887,40846
13700,5,SELECT,108475,120399
13700,5,RAND_SELECT,25341,27417
13800,1,SELECT,109605,121373
13800,1,RAND_SELECT,28538,29536
13800,2,SELECT,109155,120914
13800,2,RAND_SELECT,42374,43517
13800,3,SELECT,109163,120997
13800,3,RAND_SELECT,45569,44508
13800,4,SELECT,109556,121609
13800,4,RAND_SELECT,46219,45309
13800,5,SELECT,109181,121234
13800,5,RAND_SELECT,26836,27616
13900,1,SELECT,110213,122062
13900,1,RAND_SELECT,27002,26263
13900,2,SELECT,108332,120001
13900,2,RAND_SELECT,42852,42446
13900,3,SELECT,110733,122785
13900,3,RAND_SELECT,47078,46459
13900,4,SELECT,109917,121915
13900,4,RAND_SELECT,41745,43027
13900,5,SELECT,109958,122133
13900,5,RAND_SELECT,26950,27818
14000,1,SELECT,111303,123300
14000,1,RAND_SELECT,28094,28252
14000,2,SELECT,110053,121936
14000,2,RAND_SELECT,45262,43420
14000,3,SELECT,111266,123389
14000,3,RAND_SELECT,46811,44813
14000,4,SELECT,110669,122744
14000,4,RAND_SELECT,43287,44260
14000,5,SELECT,110792,122963
14000,5,RAND_SELECT,29226,28018
14100,1,SELECT,111775,123772
14100,1,RAND_SELECT,33124,38111
14100,2,SELECT,110998,122948
14100,2,RAND_SELECT,43621,46506
14100,3,SELECT,111035,123069
14100,3,RAND_SELECT,46086,44915
14100,4,SELECT,111986,124209
14100,4,RAND_SELECT,43075,45261
14100,5,SELECT,111970,124235
14100,5,RAND_SELECT,27886,28218
14200,1,SELECT,112835,124953
14200,1,RAND_SELECT,25511,22682
14200,2,SELECT,112837,125042
14200,2,RAND_SELECT,43813,44633
14200,3,SELECT,113244,125619
14200,3,RAND_SELECT,47180,46181
14200,4,SELECT,112187,124410
14200,4,RAND_SELECT,44288,42079
14200,5,SELECT,112296,124536
14200,5,RAND_SELECT,26371,28416
14300,1,SELECT,113206,125289
14300,1,RAND_SELECT,30879,33223
14300,2,SELECT,113336,125545
14300,2,RAND_SELECT,42084,42729
14300,3,SELECT,113254,125499
14300,3,RAND_SELECT,46258,45699
14300,4,SELECT,113952,126409
14300,4,RAND_SELECT,48230,46821
14300,5,SELECT,113838,126378
14300,5,RAND_SELECT,30005,28617
14400,1,SELECT,114409,126758
14400,1,RAND_SELECT,31454,34171
14400,2,SELECT,113741,126012
14400,2,RAND_SELECT,41622,41079
14400,3,SELECT,115069,127612
14400,3,RAND_SELECT,48378,47832
14400,4,SELECT,114202,126669
14400,4,RAND_SELECT,47281,45061
14400,5,SELECT,114324,126886
14400,5,RAND_SELECT,27836,28818
14500,1,SELECT,114980,127345
14500,1,RAND_SELECT,29294,29650
14500,2,SELECT,115209,127638
14500,2,RAND_SELECT,49525,47899
14500,3,SELECT,115392,127844
14500,3,RAND_SELECT,48344,46854
14500,4,SELECT,115332,127965
14500,4,RAND_SELECT,42057,40474
14500,5,SELECT,115523,128200
14500,5,RAND_SELECT,28856,29017
14600,1,SELECT,116171,128650
14600,1,RAND_SELECT,29542,29943
14600,2,SELECT,115756,128235
14600,2,RAND_SELECT,44992,45483
14600,3,SELECT,115547,128057
14600,3,RAND_SELECT,51574,53956
14600,4,SELECT,115391,127825
14600,4,RAND_SELECT,43458,45792
14600,5,SELECT,116513,129313
14600,5,RAND_SELECT,28014,29217
14700,1,SELECT,116537,128984
14700,1,RAND_SELECT,28744,28148
14700,2,SELECT,116775,129321
14700,2,RAND_SELECT,48924,50653
14700,3,SELECT,114520,126951
14700,3,RAND_SELECT,52451,53956
14700,4,SELECT,116962,129696
14700,4,RAND_SELECT,43536,44252
14700,5,SELECT,116960,129808
14700,5,RAND_SELECT,27650,29418
14800,1,SELECT,117341,129879
14800,1,RAND_SELECT,29994,30445
14800,2,SELECT,117720,130424
14800,2,RAND_SELECT,43381,42247
14800,3,SELECT,112906,125053
14800,3,RAND_SELECT,49023,46239
14800,4,SELECT,117267,129903
14800,4,RAND_SELECT,44019,44294
14800,5,SELECT,117381,130205
14800,5,RAND_SELECT,30891,29618
14900,1,SELECT,118688,131414
14900,1,RAND_SELECT,30969,32200
14900,2,SELECT,118645,131420
14900,2,RAND_SELECT,46866,46932
14900,3,SELECT,117902,130631
14900,3,RAND_SELECT,48962,46764
14900,4,SELECT,117856,130605
14900,4,RAND_SELECT,46674,47796
14900,5,SELECT,117871,130726
14900,5,RAND_SELECT,29332,29819
15000,1,SELECT,118482,131135
15000,1,RAND_SELECT,30243,30546
15000,2,SELECT,118975,131767
15000,2,RAND_SELECT,46729,47708
15000,3,SELECT,116883,129535
15000,3,RAND_SELECT,52745,53162
15000,4,SELECT,119012,132012
15000,4,RAND_SELECT,47752,47029
15000,5,SELECT,119525,132664
15000,5,RAND_SELECT,29167,30017
15100,1,SELECT,119358,132096
15100,1,RAND_SELECT,30182,30221
15100,2,SELECT,119893,132773
15100,2,RAND_SELECT,44968,44787
15100,3,SELECT,119105,131933
15100,3,RAND_SELECT,48283,48000
15100,4,SELECT,118201,131032
15100,4,RAND_SELECT,45848,45895
15100,5,SELECT,119882,133074
15100,5,RAND_SELECT,30882,30218
15200,1,SELECT,120431,133281
15200,1,RAND_SELECT,29163,27986
15200,2,SELECT,120601,133502
15200,2,RAND_SELECT,50295,53381
15200,3,SELECT,120947,134026
15200,3,RAND_SELECT,49545,52195
15200,4,SELECT,120883,134019
15200,4,RAND_SELECT,44896,43612
15200,5,SELECT,121407,134582
15200,5,RAND_SELECT,32805,30417
15300,1,SELECT,121637,134573
15300,1,RAND_SELECT,29016,27493
15300,2,SELECT,121443,134420
15300,2,RAND_SELECT,45436,44212
15300,3,SELECT,120320,133239
15300,3,RAND_SELECT,55202,54412
15300,4,SELECT,120452,133487
15300,4,RAND_SELECT,49258,49893
15300,5,SELECT,121667,134941
15300,5,RAND_SELECT,28827,30618
15400,1,SELECT,122378,135462
15400,1,RAND_SELECT,33552,36369
15400,2,SELECT,123141,136376
15400,2,RAND_SELECT,45009,44421
15400,3,SELECT,122886,136103
15400,3,RAND_SELECT,54675,51062
15400,4,SELECT,122481,135741
15400,4,RAND_SELECT,45476,47534
15400,5,SELECT,122876,136389
15400,5,RAND_SELECT,28904,30817
15500,1,SELECT,123089,136199
15500,1,RAND_SELECT,30565,30190
15500,2,SELECT,123336,136539
15500,2,RAND_SELECT,47780,48976
15500,3,SELECT,123937,137379
15500,3,RAND_SELECT,49539,49351
15500,4,SELECT,121770,135006
15500,4,RAND_SELECT,49044,49040
15500,5,SELECT,123766,137280
15500,5,RAND_SELECT,25474,31015
15600,1,SELECT,123642,136787
15600,1,RAND_SELECT,31004,30872
15600,2,SELECT,124293,137626
15600,2,RAND_SELECT,47735,47430
