InsertionSort;10;27;37
QuickSort;10;35;24
HybridSort;10;38;48
InsertionSort;20;103;123
QuickSort;20;116;54
HybridSort;20;79;65
InsertionSort;30;246;277
QuickSort;30;154;80
HybridSort;30;172;112
InsertionSort;40;348;388
QuickSort;40;250;134
HybridSort;40;216;178
InsertionSort;50;681;734
QuickSort;50;353;172
HybridSort;50;323;223
QuickSort;1000;13057;5320
HybridSort;1000;11326;6337
QuickSort;2000;29481;11518
HybridSort;2000;25220;13821
QuickSort;3000;45321;17922
HybridSort;3000;42443;21208
QuickSort;4000;65577;24650
HybridSort;4000;59288;29187
QuickSort;5000;82791;31598
HybridSort;5000;79223;37006
QuickSort;6000;104135;38574
HybridSort;6000;90421;45681
QuickSort;7000;124503;45616
HybridSort;7000;110538;53699
QuickSort;8000;140071;53344
HybridSort;8000;129729;62067
QuickSort;9000;154847;60944
HybridSort;9000;146284;70888
QuickSort;10000;192950;67354
HybridSort;10000;159277;79353
QuickSort;11000;193684;75930
HybridSort;11000;180790;88045
QuickSort;12000;209363;83844
HybridSort;12000;190301;97715
QuickSort;13000;236814;91046
HybridSort;13000;222412;104895
QuickSort;14000;257579;99114
HybridSort;14000;238183;114079
QuickSort;15000;289290;105490
HybridSort;15000;261223;122105
QuickSort;16000;306359;113074
HybridSort;16000;289979;131126
QuickSort;17000;314179;121584
HybridSort;17000;311303;139996
QuickSort;18000;336230;129798
HybridSort;18000;320960;150148
QuickSort;19000;357198;138308
HybridSort;19000;327985;160194
QuickSort;20000;368741;146578
HybridSort;20000;353648;167972
QuickSort;21000;412546;154210
HybridSort;21000;388673;175712
QuickSort;22000;404744;163218
HybridSort;22000;391110;186765
QuickSort;23000;434755;170246
HybridSort;23000;431330;194109
QuickSort;24000;471292;176728
HybridSort;24000;443734;203567
QuickSort;25000;475575;187040
HybridSort;25000;449493;214385
QuickSort;26000;538845;191294
HybridSort;26000;484714;221553
QuickSort;27000;530626;202168
HybridSort;27000;556851;228692
QuickSort;28000;543877;210402
HybridSort;28000;505383;242131
QuickSort;29000;579779;216704
HybridSort;29000;536481;250122
QuickSort;30000;622939;224032
HybridSort;30000;539147;260877
QuickSort;31000;622912;234528
HybridSort;31000;592623;269062
QuickSort;32000;645828;242326
HybridSort;32000;605248;278369
QuickSort;33000;685971;249576
HybridSort;33000;614509;288719
QuickSort;34000;656014;262220
HybridSort;34000;632461;298410
QuickSort;35000;695793;268914
HybridSort;35000;645906;308664
QuickSort;36000;689134;279192
HybridSort;36000;714447;314489
QuickSort;37000;727520;287388
HybridSort;37000;784452;319311
QuickSort;38000;798084;288966
HybridSort;38000;706881;336521
QuickSort;39000;769472;303038
HybridSort;39000;732403;345206
QuickSort;40000;789845;312884
HybridSort;40000;816723;352917
QuickSort;41000;855187;316268
HybridSort;41000;842098;359921
QuickSort;42000;842125;327972
HybridSort;42000;832443;371484
QuickSort;43000;887447;335642
HybridSort;43000;902666;377994
QuickSort;44000;923695;341752
HybridSort;44000;825832;394091
QuickSort;45000;914229;353312
HybridSort;45000;900904;400447
QuickSort;46000;941929;361048
HybridSort;46000;878692;413309
QuickSort;47000;964552;370150
HybridSort;47000;896416;422416
QuickSort;48000;1055605;373990
HybridSort;48000;930704;430017
QuickSort;49000;1009240;386922
HybridSort;49000;988504;439041
QuickSort;50000;1048238;393906
HybridSort;50000;995394;446970
