Plik;T_start;Alpha;Mnoznik_Petli;Sredni_Koszt;Najlepszy_Koszt;Czas_Srednio_ms
uy734.tsp;1000.0;1.0;5;84894.60;84210.00;383.8
uy734.tsp;10000.0;0.9;1;184516.20;179387.00;5.0
uy734.tsp;10000.0;0.9;2;141998.40;138500.00;9.8
uy734.tsp;10000.0;0.9;5;106454.20;105010.00;23.8
uy734.tsp;10000.0;0.9;1;137665.80;131389.00;10.0
uy734.tsp;10000.0;0.9;2;109889.60;107656.00;19.4
uy734.tsp;10000.0;0.9;5;93470.60;92079.00;48.4
uy734.tsp;10000.0;1.0;1;93400.60;91772.00;49.6
uy734.tsp;10000.0;1.0;2;89222.40;87754.00;99.0
uy734.tsp;10000.0;1.0;5;87794.60;87185.00;245.6
uy734.tsp;10000.0;1.0;1;89783.20;88840.00;98.4
uy734.tsp;10000.0;1.0;2;88011.00;86678.00;197.0
uy734.tsp;10000.0;1.0;5;85563.60;84852.00;494.4
zi929.tsp;1000.0;0.9;1;241111.80;231862.00;6.2
zi929.tsp;1000.0;0.9;2;182021.60;175096.00;11.4
zi929.tsp;1000.0;0.9;5;133846.60;131333.00;25.4
zi929.tsp;1000.0;0.9;1;177834.60;173265.00;11.2
zi929.tsp;1000.0;0.9;2;140921.00;139121.00;21.0
zi929.tsp;1000.0;0.9;5;115658.60;113594.00;50.2
zi929.tsp;1000.0;1.0;1;114683.00;112955.00;51.4
zi929.tsp;1000.0;1.0;2;107533.80;106771.00;100.4
zi929.tsp;1000.0;1.0;5;105179.20;104645.00;250.4
zi929.tsp;1000.0;1.0;1;107615.00;106756.00;104.8
zi929.tsp;1000.0;1.0;2;105236.60;104361.00;201.6
zi929.tsp;1000.0;1.0;5;102950.80;102318.00;498.6
zi929.tsp;10000.0;0.9;1;243978.20;234891.00;7.2
zi929.tsp;10000.0;0.9;2;181330.40;176695.00;13.4
zi929.tsp;10000.0;0.9;5;134350.40;132028.00;32.2
zi929.tsp;10000.0;0.9;1;180046.80;178338.00;13.8
zi929.tsp;10000.0;0.9;2;143840.60;141423.00;26.4
zi929.tsp;10000.0;0.9;5;115723.60;114296.00;64.0
zi929.tsp;10000.0;1.0;1;115660.00;113363.00;65.4
zi929.tsp;10000.0;1.0;2;107325.60;106009.00;130.2
zi929.tsp;10000.0;1.0;5;104595.00;103043.00;323.8
zi929.tsp;10000.0;1.0;1;109083.40;108224.00;130.2
zi929.tsp;10000.0;1.0;2;106113.60;104432.00;258.0
zi929.tsp;10000.0;1.0;5;103578.60;101764.00;645.4
