MergeSort;35000;484313;1058928
ShortestPairSort;36000;564783;604478
MergeSort;36000;499863;1092928
ShortestPairSort;37000;582992;623545
MergeSort;37000;515238;1126928
ShortestPairSort;38000;600918;642728
MergeSort;38000;530857;1160928
ShortestPairSort;39000;617725;660404
MergeSort;39000;546432;1194928
ShortestPairSort;40000;634939;678750
MergeSort;40000;561822;1228928
ShortestPairSort;41000;653703;698863
MergeSort;41000;577259;1262928
ShortestPairSort;42000;669969;716036
MergeSort;42000;592825;1296928
ShortestPairSort;43000;687651;734854
MergeSort;43000;608487;1330928
ShortestPairSort;44000;704308;752554
MergeSort;44000;624085;1364928
ShortestPairSort;45000;723381;772782
MergeSort;45000;639773;1398928
ShortestPairSort;46000;740835;791524
MergeSort;46000;655425;1432928
ShortestPairSort;47000;756999;808781
MergeSort;47000;670912;1466928
ShortestPairSort;48000;776076;828899
MergeSort;48000;686449;1500928
ShortestPairSort;49000;793405;847084
MergeSort;49000;702295;1534928
ShortestPairSort;50000;812256;867264
MergeSort;50000;718255;1568928
ShortestPairSort;1000;10700;11789
MergeSort;1000;8714;19952
ShortestPairSort;2000;23116;25285
MergeSort;2000;19415;43904
ShortestPairSort;3000;36598;39896
MergeSort;3000;30891;69808
ShortestPairSort;4000;49820;54136
MergeSort;4000;42836;95808
ShortestPairSort;5000;64285;69830
MergeSort;5000;55353;123616
ShortestPairSort;6000;78919;85492
MergeSort;6000;67811;151616
ShortestPairSort;7000;93046;100761
MergeSort;7000;80684;179616
ShortestPairSort;8000;107806;116549
MergeSort;8000;93596;207616
ShortestPairSort;9000;123540;133429
MergeSort;9000;107019;237232
ShortestPairSort;10000;139070;150086
MergeSort;10000;120418;267232
ShortestPairSort;11000;154389;166540
MergeSort;11000;134050;297232
ShortestPairSort;12000;169876;182965
MergeSort;12000;147607;327232
ShortestPairSort;13000;185844;200055
MergeSort;13000;161572;357232
ShortestPairSort;14000;200822;216177
MergeSort;14000;175300;387232
ShortestPairSort;15000;216169;232653
MergeSort;15000;189319;417232
ShortestPairSort;16000;232124;249673
MergeSort;16000;203340;447232
ShortestPairSort;17000;248611;267266
MergeSort;17000;217542;478464
ShortestPairSort;18000;264419;284341
MergeSort;18000;231836;510464
ShortestPairSort;19000;280413;301209
MergeSort;19000;246530;542464
ShortestPairSort;20000;297847;319881
MergeSort;20000;260873;574464
ShortestPairSort;21000;314525;337709
MergeSort;21000;275393;606464
ShortestPairSort;22000;330783;354978
MergeSort;22000;290180;638464
ShortestPairSort;23000;347399;372639
MergeSort;23000;304807;670464
ShortestPairSort;24000;363138;389556
MergeSort;24000;319335;702464
ShortestPairSort;25000;380559;408039
MergeSort;25000;334234;734464
ShortestPairSort;26000;398294;426908
MergeSort;26000;349062;766464
ShortestPairSort;27000;414145;443722
MergeSort;27000;363807;798464
ShortestPairSort;28000;429325;460047
MergeSort;28000;378854;830464
ShortestPairSort;29000;445723;477519
MergeSort;29000;393691;862464
ShortestPairSort;30000;462599;495623
MergeSort;30000;408648;894464
ShortestPairSort;31000;478814;513068
MergeSort;31000;423608;926464
ShortestPairSort;32000;495841;531115
MergeSort;32000;438476;958464
ShortestPairSort;33000;513153;549581
MergeSort;33000;453767;990928
ShortestPairSort;34000;531361;568466
MergeSort;34000;469003;1024928
ShortestPairSort;35000;548465;587006
MergeSort;35000;484544;1058928
ShortestPairSort;36000;566144;605740
MergeSort;36000;499779;1092928
ShortestPairSort;37000;582340;623037
MergeSort;37000;515321;1126928
ShortestPairSort;38000;600992;642919
MergeSort;38000;530712;1160928
ShortestPairSort;39000;618120;660857
MergeSort;39000;546380;1194928
ShortestPairSort;40000;635332;679287
MergeSort;40000;561853;1228928
ShortestPairSort;41000;653386;698341
MergeSort;41000;577336;1262928
ShortestPairSort;42000;670418;716424
MergeSort;42000;593062;1296928
ShortestPairSort;43000;688722;735982
MergeSort;43000;608498;1330928
ShortestPairSort;44000;705862;754161
MergeSort;44000;624219;1364928
ShortestPairSort;45000;722701;772137
MergeSort;45000;639781;1398928
