n,group_size,avg_porownania,avg_przestawienia,avg_czas_us
36000,5,286754,316463,1091
36000,7,301156,322519,1016
36000,9,325500,342574,1003
36000,19,477068,486181,1074
36000,21,509175,517636,1141
37000,3,359844,423475,1762
37000,5,294468,324812,1167
37000,7,309868,331901,1028
37000,9,334768,352242,958
37000,19,490511,499966,943
37000,21,524289,533014,1004
38000,3,363825,427610,2053
38000,5,302876,333887,1153
38000,7,318803,341322,1065
38000,9,345042,363091,968
38000,19,503804,513413,973
38000,21,531015,539827,1032
39000,3,374814,440533,2028
39000,5,311877,344054,1159
39000,7,323436,346362,1052
39000,9,353144,371684,1022
39000,19,516644,526529,1041
39000,21,553751,562909,1139
40000,3,390018,458622,2131
40000,5,322944,356024,1229
40000,7,336714,360511,1169
40000,9,358015,376788,1088
40000,19,531894,542072,1086
40000,21,563587,572844,1100
41000,3,399410,469364,2121
41000,5,332192,366299,1220
41000,7,343757,367950,1217
41000,9,371045,390399,1318
41000,19,543011,553320,1504
41000,21,581813,591399,1194
42000,3,403247,473922,2222
42000,5,338824,373455,1472
42000,7,353596,378440,1155
42000,9,380386,400112,1100
42000,19,557172,567867,1198
42000,21,598440,608282,1309
43000,3,419197,492243,2490
43000,5,347357,382913,1366
43000,7,360202,385554,1305
43000,9,390047,410508,1222
43000,19,568281,579102,1132
43000,21,611669,621735,1123
44000,3,428284,502959,2289
44000,5,356412,392935,1336
44000,7,370094,396108,1220
44000,9,398791,419388,1149
44000,19,585651,596859,1182
44000,21,625365,635589,1280
45000,3,435914,511604,2462
45000,5,359674,396376,1402
45000,7,376789,403090,1263
45000,9,407210,428352,1194
45000,19,597795,609230,1178
45000,21,639111,649693,1161
46000,3,448082,526041,2239
46000,5,372342,410503,1380
46000,7,387632,414713,1271
46000,9,417219,438824,1197
46000,19,604102,615596,1196
46000,21,653093,663835,1237
47000,3,459696,539595,2257
47000,5,380577,419131,1408
47000,7,389709,416969,1271
47000,9,425952,448036,1220
47000,19,625217,637014,1222
47000,21,667456,678423,1277
48000,3,469287,550461,2296
48000,5,388596,428109,1478
48000,7,404081,432224,1312
48000,9,435277,457752,1265
48000,19,624826,636690,1256
48000,21,673477,684518,1255
49000,3,476458,559025,2473
49000,5,397125,437799,1466
49000,7,413005,441934,1367
49000,9,440542,463407,1305
49000,19,643958,656202,1275
49000,21,689010,700409,1283
50000,3,488775,573352,2545
50000,5,404021,444921,1495
50000,7,421843,451423,1382
50000,9,454078,477410,1336
50000,19,663536,676089,1301
50000,21,706669,718258,1308
51000,3,491477,576698,2569
51000,5,414474,456723,1532
51000,7,429381,459415,1767
51000,9,458231,481825,1489
51000,19,681609,694589,1303
51000,21,725976,737806,1356
52000,3,501398,588248,2659
52000,5,421766,464640,1581
52000,7,437301,467883,1448
52000,9,471992,496301,1456
52000,19,685164,698174,1403
52000,21,732497,744590,1404
53000,3,521673,611908,2745
53000,5,424308,467292,1520
53000,7,445885,476995,1421
53000,9,481990,506996,1389
53000,19,700780,714002,1345
53000,21,753596,765930,1475
54000,3,531201,622959,2828
54000,5,436517,480596,1506
54000,7,453827,485410,1403
54000,9,490397,515563,1355
54000,19,715559,729226,1355
54000,21,767820,780528,1384
55000,3,539766,633437,2501
55000,5,445951,490965,1526
55000,7,462131,494212,1429
55000,9,499453,525014,1391
55000,19,730166,743971,1388
55000,21,771938,784576,1395
56000,3,547064,641407,2527
56000,5,448457,493707,1533
56000,7,472258,505225,1462
56000,9,507683,534080,1459
56000,19,745537,759605,1520
56000,21,771776,784430,1441
57000,3,559994,656409,2917
57000,5,462434,509386,1698
57000,7,479161,512352,1604
57000,9,517528,544182,1653
57000,19,756691,771015,1436
57000,21,802528,815641,1493
58000,3,570856,669096,2946
58000,5,465342,512323,1685
58000,7,486357,520204,1623
58000,9,527484,554647,1669
58000,19,773865,788530,1537
58000,21,824530,838087,1659
59000,3,580837,680987,2830
59000,5,476343,524358,1742
59000,7,496443,531274,1607
59000,9,535055,562341,1536
59000,19,776133,790754,1561
59000,21,838787,852402,1571
60000,3,591942,693503,2838
60000,5,487324,536604,1767
60000,7,504791,539760,1666
60000,9,540936,568962,1491
60000,19,788243,803078,1542
60000,21,848449,862275,1670
61000,3,599462,702798,2913
61000,5,495197,545568,1740
61000,7,513562,549344,1618
61000,9,556507,585012,1551
61000,19,811711,827044,1611
61000,21,859985,873954,1636
62000,3,606524,710271,2897
62000,5,497289,547689,1796
62000,7,523219,559546,1801
62000,9,557525,586083,1630
62000,19,827329,842849,1805
62000,21,878910,893193,1878
63000,3,614457,719195,3701
63000,5,504385,555158,2086
63000,7,532110,568992,1727
63000,9,573353,602812,1877
63000,19,841086,857038,1709
63000,21,896137,910850,1831
64000,3,625961,732711,3219
64000,5,521153,573619,2174
64000,7,537768,575041,1981
64000,9,581535,611146,1933
64000,19,847890,863832,1684
64000,21,915493,930342,1802
65000,3,642520,752401,3211
65000,5,528042,581210,1824
65000,7,542103,579750,1667
65000,9,585988,616304,1704
65000,19,864355,880755,1633
65000,21,921468,936369,1678
66000,3,647701,758133,3190
66000,5,536121,590269,1909
66000,7,554279,592436,1801
66000,9,599443,630164,1748
66000,19,873237,889696,1664
66000,21,935484,950671,1698
67000,3,655439,767498,3038
67000,5,543362,597964,1941
67000,7,564615,603672,1886
67000,9,608911,640096,1760
67000,19,892065,908990,1757
67000,21,953847,969329,1820
68000,3,669013,783208,3166
68000,5,549711,605071,1891
68000,7,574269,613972,1825
68000,9,617560,649242,1700
68000,19,903592,920533,1709
68000,21,967918,983690,1738
69000,3,680489,796609,3143
69000,5,561813,618062,2007
69000,7,575962,616039,1902
69000,9,626417,658531,1829
69000,19,900894,917779,1735
69000,21,972927,988743,2021
70000,3,685835,802288,3161
70000,5,568588,625574,1909
70000,7,589392,630208,1785
70000,9,632650,665108,1733
70000,19,917843,935260,1743
70000,21,996678,1012854,1813
71000,3,697614,816560,3242
71000,5,577567,635621,1965
71000,7,600241,642380,1835
71000,9,642736,675403,1778
71000,19,941533,959283,1777
71000,21,1007367,1023912,1817
72000,3,715294,837015,3288
